RecId,FIPSCode,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
505,48303,127,123,16777282,15772063,-1005219,-4,1
506,34003,2,8,4561811,15870861,11309050,6,1
507,42063,55,80,11007760,15881196,4873436,25,1
508,42067,123,129,16938339,18092992,1154653,6,1
509,51007,115,119,14713743,18213788,3500045,4,1
510,51005,107,102,18724633,18544247,-180386,-5,1
511,51510,29,39,1342740,18572515,17229775,10,1
512,17031,22,86,10287103,19038607,8751504,64,1
513,13139,0,9,0,19163800,19163800,9,1
514,40017,8,58,1262078,19379977,18117899,50,1
515,48029,42,137,6712463,20520567,13808104,95,1
516,51033,84,76,23896027,20547812,-3348215,-8,1
517,51115,72,73,19705347,21056967,1351620,1,1
518,51013,43,47,19619619.4,21062731.4,1443112,4,1
519,34031,16,21,17643021,21285034,3642013,5,1
520,51187,43,56,9544817,21537317,11992500,13,1
521,24031,0,14,0,21561528,21561528,14,1
522,13067,1,19,131300,21786916,21655616,18,1
523,34029,2,86,1014000,21872514,20858514,84,1
524,42077,3,21,52200,21992710,21940510,18,1
525,51103,64,66,21361978,22098289,736311,2,1
526,51017,148,161,19960997,22853174,2892177,13,1
527,42111,226,248,22701560,24115051,1413491,22,1
528,40027,29,194,4681627,24123320,19441693,165,1
529,51107,87,85,30638181,24627203,-6010978,-2,1
530,51025,122,119,24101934,25186555,1084621,-3,1
531,40101,0,19,0,26166949,26166949,19,1
532,51735,27,43,18250292,26480028,8229736,16,1
533,51750,160,160,27721652,26809156,-912496,0,1
534,45045,1,6,34000,27112216,27078216,5,1
535,51193,109,102,28330646,27879062,-451584,-7,1
536,51099,39,48,25670705,27909393,2238688,9,1
537,51159,106,101,29118273,28641018,-477255,-5,1
538,51089,224,224,29381469,29780277,398808,0,1
539,51155,151,132,29011267,30205821,1194554,-19,1
540,51045,174,161,29499828.4,30558662,1058833.6,-13,1
541,17167,0,288,0,30660208,30660208,288,1
542,51071,182,166,32617983,31050620,-1567363,-16,1
543,51149,80,84,30272877,31068629,795752,4,1
544,51036,127,118,32214000,31187072,-1026928,-9,1
545,51620,66,83,16875200,33841808,16966608,17,1
546,51101,137,136,32326817,33860158,1533341,-1,1
547,42039,277,284,29262738,33921511,4658773,7,1
548,51119,98,101,32337992,33922855,1584863,3,1
549,13121,8,21,858894,35114697,34255803,13,1
550,48113,4,182,618480,35501405.2,34882925.2,178,1
551,51061,234,220,36951143,37000086,48943,-14,1
552,37183,13,27,14800120,37338836,22538716,14,1
553,42059,140,146,34201411,37641376,3439965,6,1
554,51065,121,127,35436875,37795224,2358349,6,1
555,48439,9,238,1049630,38985038,37935408,229,1
556,51530,263,247,44153230,40905930,-3247300,-16,1
557,51137,350,339,40683675,41100890,417215,-11,1
558,51145,150,144,39767841,41207148,1439307,-6,1
559,51147,119,163,29930121,41381889,11451768,44,1
560,51113,324,334,40735907,42635274,1899367,10,1
561,51173,273,290,45174452.2,42992238,-2182214.2,17,1
562,51135,225,214,48370631,43014149,-5356482,-11,1
563,42073,271,248,50593352,48470781,-2122571,-23,1
564,51057,167,182,43480126,49436213,5956087,15,1
565,45035,10,25,1343570,51074931,49731361,15,1
566,24017,23,23,42238043,53249632,11011589,0,1
567,36081,33,77,25750712,57068339,31317627,44,1
568,51125,299,268,62901379.8,59187575,-3713804.8,-31,1
569,51670,179,207,47062197,59922964,12860767,28,1
570,51570,140,164,41325711,60198127,18872416,24,1
571,42019,81,210,29820205.6,60934751.6,31114546,129,1
572,51029,333,335,59757631,62545343,2787712,2,1
573,51009,259,260,61044255,63072910,2028655,1,1
574,42091,5,83,1351100,65972678,64621578,78,1
575,51091,503,466,70281865,66892403,-3389462,-37,1
576,51133,191,168,71578982,67886820,-3692162,-23,1
577,51081,191,325,40534379,73330225,32795846,134,1
578,42125,372,418,79085807,81806073,2720266,46,1
579,51069,162,180,78490442,81908340,3417898,18,1
580,51127,359,367,81950780,82497956,547176,8,1
581,11001,1,8,250000,83645183,83395183,7,1
582,42051,371,373,81000110,83995638,2995528,2,1
583,51079,506,501,81556258,85394559,3838301,-5,1
584,51143,515,504,82013205,87636884,5623679,-11,1
